Tipo;Derivados;Refinaria;Produção;Estado
Energéticos;QAV;P;198774;SP
Energéticos;Querosene iluminante;P;0;SP
Energéticos;Outros5;P;0;SP
Energéticos;Gasolina A;Q;0;SP
Energéticos;Gasolina de aviação;Q;0;SP
Energéticos;GLP²;Q;0;SP
Energéticos;Óleo combustível3,4;Q;0;SP
Energéticos;Óleo diesel4;Q;0;SP
Energéticos;QAV;Q;0;SP
Energéticos;Querosene iluminante;Q;0;SP
Energéticos;Outros5;Q;0;SP
Não energéticos;Asfalto;A;0;AM
Não energéticos;Coque6;A;0;AM
Não energéticos;Nafta7;A;2689,584;AM
Não energéticos;Óleo lubrificante;A;0;AM
Não energéticos;Parafina;A;2277,782;AM
Não energéticos;Solvente;A;15345,584;AM
Não energéticos;Outros8;A;0;AM
Não energéticos;Asfalto;B;198921,3878;BA
Não energéticos;Coque6;B;0;BA
Não energéticos;Nafta7;B;0;BA
Não energéticos;Óleo lubrificante;B;53392;BA
Não energéticos;Parafina;B;0;BA
Não energéticos;Solvente;B;0;BA
Não energéticos;Outros8;B;0;BA
Não energéticos;Asfalto;C;0;BA
Não energéticos;Coque6;C;0;BA
Não energéticos;Nafta7;C;1057,571;BA
Não energéticos;Óleo lubrificante;C;0;BA
Não energéticos;Parafina;C;0;BA
Não energéticos;Solvente;C;0;BA
Não energéticos;Outros8;C;0;BA
Não energéticos;Asfalto;D;0;CE
Não energéticos;Coque6;D;0;CE
Não energéticos;Nafta7;D;9880,433046;CE
Não energéticos;Óleo lubrificante;D;0;CE
Não energéticos;Parafina;D;0;CE
Não energéticos;Solvente;D;71264;CE
Não energéticos;Outros8;D;216868,3818;CE
Não energéticos;Asfalto;E;64486,74925;MG
Não energéticos;Coque6;E;482936,1654;MG
Não energéticos;Nafta7;E;1501793,167;MG
Não energéticos;Óleo lubrificante;E;483090;MG
Não energéticos;Parafina;E;20652,30502;MG
Não energéticos;Solvente;E;179;MG
Não energéticos;Outros8;E;868683,1957;MG
Não energéticos;Asfalto;F;137164,6018;PE
Não energéticos;Coque6;F;183604,5063;PE
Não energéticos;Nafta7;F;296756,646;PE
Não energéticos;Óleo lubrificante;F;0;PE
Não energéticos;Parafina;F;0;PE
Não energéticos;Solvente;F;0;PE
Não energéticos;Outros8;F;173826,357;PE
Não energéticos;Asfalto;G;487566,3797;PR
Não energéticos;Coque6;G;461038,169;PR
Não energéticos;Nafta7;G;0;PR
Não energéticos;Óleo lubrificante;G;0;PR
Não energéticos;Parafina;G;0;PR
Não energéticos;Solvente;G;0;PR
Não energéticos;Outros8;G;6413,180474;PR
Não energéticos;Asfalto;H;91865,41771;RJ
Não energéticos;Coque6;H;0;RJ
Não energéticos;Nafta7;H;348048,7442;RJ
Não energéticos;Óleo lubrificante;H;0;RJ
Não energéticos;Parafina;H;0;RJ
Não energéticos;Solvente;H;0;RJ
Não energéticos;Outros8;H;0;RJ
Não energéticos;Asfalto;I;311205,9917;RJ
Não energéticos;Coque6;I;454390,7268;RJ
Não energéticos;Nafta7;I;0;RJ
Não energéticos;Óleo lubrificante;I;0;RJ
Não energéticos;Parafina;I;0;RJ
Não energéticos;Solvente;I;36618;RJ
Não energéticos;Outros8;I;275987,2709;RJ
Não energéticos;Asfalto;J;171369,0639;RN
Não energéticos;Coque6;J;1296656,393;RN
Não energéticos;Nafta7;J;16971,69076;RN
Não energéticos;Óleo lubrificante;J;0;RN
Não energéticos;Parafina;J;0;RN
Não energéticos;Solvente;J;0;RN
Não energéticos;Outros8;J;508081,469;RN
Não energéticos;Asfalto;K;279477,4251;RS
Não energéticos;Coque6;K;589737,9636;RS
Não energéticos;Nafta7;K;905685,3061;RS
Não energéticos;Óleo lubrificante;K;0;RS
Não energéticos;Parafina;K;0;RS
Não energéticos;Solvente;K;2807;RS
Não energéticos;Outros8;K;169375,3803;RS
Não energéticos;Asfalto;L;0;RS
Não energéticos;Coque6;L;0;RS
Não energéticos;Nafta7;L;0;RS
Não energéticos;Óleo lubrificante;L;0;RS
Não energéticos;Parafina;L;0;RS
Não energéticos;Solvente;L;40603,011;RS
Não energéticos;Outros8;L;0;RS
Não energéticos;Asfalto;M;157759,0762;SP
Não energéticos;Coque6;M;0;SP
Não energéticos;Nafta7;M;204699,222;SP
Não energéticos;Óleo lubrificante;M;66399;SP
Não energéticos;Parafina;M;103266,7353;SP
Não energéticos;Solvente;M;16199,40421;SP
Não energéticos;Outros8;M;211000,6526;SP
Não energéticos;Asfalto;N;0;SP
Não energéticos;Coque6;N;450614;SP
Não energéticos;Nafta7;N;752797,3332;SP
Não energéticos;Óleo lubrificante;N;0;SP
Não energéticos;Parafina;N;0;SP
Não energéticos;Solvente;N;0;SP
Não energéticos;Outros8;N;0;SP
Não energéticos;Asfalto;O;0;SP
Não energéticos;Coque6;O;549593,9056;SP
Não energéticos;Nafta7;O;9850,932611;SP
Não energéticos;Óleo lubrificante;O;0;SP
Não energéticos;Parafina;O;0;SP
Não energéticos;Solvente;O;147401;SP
Não energéticos;Outros8;O;119752,1016;SP
Não energéticos;Asfalto;P;0;SP
Não energéticos;Coque6;P;0;SP
Não energéticos;Nafta7;P;0;SP
Não energéticos;Óleo lubrificante;P;0;SP
Não energéticos;Parafina;P;0;SP
Não energéticos;Solvente;P;0;SP
Não energéticos;Outros8;P;0;SP
Não energéticos;Asfalto;Q;0;SP
Não energéticos;Coque6;Q;0;SP
Não energéticos;Nafta7;Q;0;SP
Não energéticos;Óleo lubrificante;Q;0;SP
Não energéticos;Parafina;Q;0;SP
Não energéticos;Solvente;Q;0;SP
Não energéticos;Outros8;Q;0;SP
