Refinaria;Letra Correspondente;Estado
Dax Oil ;A;AM
Lubnor ;B;BA
Manguinhos;C;BA
Recap;D;CE
Reduc;E;MG
Refap;F;PE
Regap;G;PR
Reman;H;RJ
Repar;I;RJ
Replan;J;RN
Revap;K;RS
Riograndense;L;RS
Rlam;M;SP
Rnest;N;SP
RPBC;O;SP
RPCC;P;SP
Univen;Q;SP
