Refinaria;Representação
Dax Oil (BA);A
Lubnor (CE);B
Manguinhos(RJ);C
Recap(SP);D
Reduc(RJ)¹;E
Refap(RS);F
Regap(MG);G
Reman(AM);H
Repar(PR);I
Replan(SP);J
Revap(SP);K
Riograndense(RS);L
Rlam(BA)¹;M
Rnest(PE);N
RPBC(SP);O
RPCC(RN);P
Univen(SP);Q
